split,benchmark,loop_idx,cells_measured,oracle_best,best_action,best_unmerge,best_factor,beats_noop
train,segment-reduce-cuda,38,19,0.15,unroll_only,0,2,1
train,segment-reduce-cuda,40,17,0.057535,unroll_only,0,10,1
train,segment-reduce-cuda,48,18,0.15,unroll_only,0,3,1
train,sortKV-cuda,0,19,0.15,unroll_only,0,8,1
train,sortKV-cuda,6,13,0.0,noop,0,1,0
train,sortKV-cuda,29,15,0.014192,unmerge,1,1,1
train,sortKV-cuda,38,16,0.0,noop,0,1,0
train,sortKV-cuda,68,19,0.15,unroll_only,0,2,1
train,sortKV-cuda,71,18,0.15,unroll_only,0,8,1
train,sortKV-cuda,75,18,0.15,unroll_only,0,8,1
train,sortKV-cuda,76,18,0.15,unroll_only,0,5,1
train,sortKV-cuda,77,19,0.15,unroll_only,0,8,1
train,sortKV-cuda,84,19,0.15,unroll_only,0,8,1
train,sortKV-cuda,85,14,0.011503,unroll_only,0,2,1
train,sortKV-cuda,92,15,0.013734,unmerge,1,5,1
train,sortKV-cuda,108,19,0.15,unroll_only,0,9,1
train,sortKV-cuda,129,16,0.013761,unmerge,1,4,1
train,sortKV-cuda,152,16,0.15,unroll_only,0,3,1
train,sortKV-cuda,153,18,0.15,unroll_only,0,8,1
train,sortKV-cuda,159,18,0.15,unroll_only,0,4,1
train,sortKV-cuda,165,19,0.15,unroll_only,0,3,1
train,sortKV-cuda,169,19,0.15,unroll_only,0,4,1
train,sortKV-cuda,172,14,0.011364,unroll_only,0,3,1
train,sortKV-cuda,177,19,0.15,unroll_only,0,3,1
train,sortKV-cuda,180,19,0.15,unroll_only,0,9,1
train,sortKV-cuda,182,18,0.15,unroll_only,0,3,1
train,sortKV-cuda,183,17,0.15,unroll_only,0,4,1
train,dropout-cuda,0,18,0.209614,unmerge,1,1,1
train,dropout-cuda,1,19,0.209029,unmerge,1,3,1
train,keogh-cuda,0,17,0.227222,unmerge,1,2,1
train,mr-cuda,6,19,0.15,unroll_only,0,9,1
train,mr-cuda,8,15,0.15,unroll_only,0,10,1
train,mr-cuda,9,13,0.0,noop,0,1,0
train,convolution1D-cuda,0,17,0.208406,unmerge,1,8,1
train,convolution1D-cuda,2,18,0.218545,unmerge,1,3,1
train,convolution1D-cuda,6,16,0.256267,unmerge,1,10,1
train,convolution1D-cuda,8,18,0.24764,unmerge,1,2,1
train,randomAccess-cuda,4,13,0.192587,unroll_only,0,8,1
train,randomAccess-cuda,5,14,0.192179,unroll_only,0,9,1
train,mandelbrot-cuda,0,13,0.223607,unmerge,1,1,1
train,hausdorff-cuda,1,11,0.20543,unmerge,1,3,1
train,simpleSpmv-cuda,1,15,0.0,noop,0,1,0
train,aobench-cuda,0,17,0.15,unroll_only,0,6,1
train,aobench-cuda,2,19,0.15,unroll_only,0,3,1
train,myocyte-cuda,0,14,0.0,noop,0,1,0
train,myocyte-cuda,1,14,0.0,noop,0,1,0
train,myocyte-cuda,2,13,0.0,noop,0,1,0
train,surfel-cuda,0,13,0.170502,unroll_only,0,3,1
train,surfel-cuda,2,13,0.203826,unroll_only,0,8,1
train,expdist-cuda,0,19,0.229531,unmerge,1,2,1
train,expdist-cuda,2,19,0.240431,unmerge,1,1,1
train,word2vec-cuda,3,0,0.0,noop,0,1,0
train,word2vec-cuda,10,0,0.0,noop,0,1,0
train,score-cuda,1,15,0.208337,unmerge,1,1,1
train,score-cuda,4,13,0.208482,unmerge,1,1,1
train,nqueen-cuda,0,15,0.396701,unroll_only,0,10,1
train,nqueen-cuda,1,15,0.27245,unroll_only,0,7,1
train,nqueen-cuda,4,17,0.15,unroll_only,0,2,1
train,mtf-cuda,1,0,0.0,noop,0,1,0
train,sss-cuda,0,0,0.0,noop,0,1,0
train,sss-cuda,1,0,0.0,noop,0,1,0
train,sss-cuda,2,0,0.0,noop,0,1,0
train,sss-cuda,3,0,0.0,noop,0,1,0
train,sss-cuda,4,0,0.0,noop,0,1,0
train,sss-cuda,8,0,0.0,noop,0,1,0
train,sss-cuda,12,0,0.0,noop,0,1,0
train,sss-cuda,16,0,0.0,noop,0,1,0
train,mis-cuda,0,16,0.157603,unmerge,1,5,1
train,mis-cuda,2,12,0.15,unmerge,1,6,1
train,mis-cuda,4,18,0.15,unroll_only,0,7,1
train,d3q19-bgk-cuda,3,15,0.15,unmerge,1,8,1
train,d3q19-bgk-cuda,4,17,0.15,unroll_only,0,6,1
train,quantVLLM-cuda,15,18,0.15,unroll_only,0,7,1
train,chi2-cuda,0,15,0.309083,unroll_only,0,3,1
train,chi2-cuda,1,16,0.313202,unmerge,1,1,1
train,resize-cuda,1,14,0.214736,unmerge,1,2,1
train,resize-cuda,3,14,0.213624,unmerge,1,3,1
train,resize-cuda,5,14,0.221039,unmerge,1,8,1
train,resize-cuda,9,14,0.214587,unmerge,1,7,1
train,axpby-cuda,0,18,0.17151,unmerge,1,5,1
train,axpby-cuda,2,15,0.15,unroll_only,0,2,1
train,axpby-cuda,3,19,0.15,unroll_only,0,2,1
train,axpby-cuda,5,19,0.15,unroll_only,0,6,1
train,md5hash-cuda,0,16,0.285529,unmerge,1,3,1
train,deredundancy-cuda,0,0,0.0,noop,0,1,0
train,deredundancy-cuda,1,0,0.0,noop,0,1,0
train,deredundancy-cuda,5,0,0.0,noop,0,1,0
train,deredundancy-cuda,18,0,0.0,noop,0,1,0
train,deredundancy-cuda,20,0,0.0,noop,0,1,0
train,deredundancy-cuda,21,0,0.0,noop,0,1,0
train,deredundancy-cuda,27,0,0.0,noop,0,1,0
train,deredundancy-cuda,28,0,0.0,noop,0,1,0
train,deredundancy-cuda,33,0,0.0,noop,0,1,0
train,deredundancy-cuda,34,0,0.0,noop,0,1,0
train,mergeVS-cuda,1,17,0.231774,unmerge,1,6,1
train,mergeVS-cuda,2,17,0.230212,unmerge,1,5,1
train,ssm-cuda,2,15,0.259307,unmerge,1,7,1
train,ssm-cuda,4,18,0.256349,unmerge,1,7,1
train,ssm-cuda,6,19,0.248734,unmerge,1,8,1
train,ssm-cuda,10,18,0.253097,unmerge,1,3,1
train,ssm-cuda,15,18,0.249736,unmerge,1,8,1
train,ssm-cuda,17,18,0.207731,unmerge,1,2,1
train,ssm-cuda,21,17,0.248408,unmerge,1,3,1
train,ssm-cuda,26,19,0.257286,unmerge,1,7,1
train,ssm-cuda,37,19,0.25418,unmerge,1,4,1
train,ssm-cuda,54,14,0.20381,unroll_only,0,4,1
train,ssm-cuda,65,16,0.252506,unmerge,1,1,1
train,rsbench-cuda,0,12,0.248265,unmerge,1,2,1
train,rsbench-cuda,1,14,0.205909,unroll_only,0,4,1
train,rsbench-cuda,3,14,0.253343,unmerge,1,4,1
train,rsbench-cuda,6,14,0.23565,unmerge,1,8,1
train,rsbench-cuda,10,19,0.216394,unmerge,1,5,1
train,ge-spmm-cuda,0,0,0.0,noop,0,1,0
train,ge-spmm-cuda,2,0,0.0,noop,0,1,0
train,ge-spmm-cuda,4,0,0.0,noop,0,1,0
train,ge-spmm-cuda,6,0,0.0,noop,0,1,0
train,ge-spmm-cuda,10,0,0.0,noop,0,1,0
train,ge-spmm-cuda,14,0,0.0,noop,0,1,0
train,chemv-cuda,0,14,0.272617,unroll_only,0,7,1
train,chemv-cuda,2,11,0.310913,unroll_only,0,8,1
train,sph-cuda,1,19,0.187762,unmerge,1,1,1
train,md-cuda,0,15,0.261399,unroll_only,0,6,1
train,quicksort-cuda,0,15,0.0,noop,0,1,0
train,quicksort-cuda,3,15,0.029732,unmerge,1,2,1
train,quicksort-cuda,7,13,0.0,noop,0,1,0
train,quicksort-cuda,10,15,0.0,noop,0,1,0
train,quicksort-cuda,13,16,0.0,noop,0,1,0
train,quicksort-cuda,19,15,0.0,noop,0,1,0
train,quicksort-cuda,22,15,0.15,unmerge,1,10,1
train,quicksort-cuda,26,13,0.0,noop,0,1,0
train,quicksort-cuda,29,15,0.15,unmerge,1,10,1
train,quicksort-cuda,32,12,0.0,noop,0,1,0
train,vmc-cuda,2,18,0.15,unroll_only,0,2,1
train,spm-cuda,0,11,0.15,unmerge,1,8,1
train,rsc-cuda,0,0,0.0,noop,0,1,0
train,nosync-cuda,1,0,0.0,noop,0,1,0
train,nosync-cuda,38,0,0.0,noop,0,1,0
train,nosync-cuda,39,0,0.0,noop,0,1,0
train,qtclustering-cuda,0,18,0.0,noop,0,1,0
train,qtclustering-cuda,1,14,0.0,noop,0,1,0
train,qtclustering-cuda,4,14,0.15,unmerge,1,10,1
train,qtclustering-cuda,8,16,0.042552,unmerge,1,1,1
train,qtclustering-cuda,20,12,0.0,noop,0,1,0
train,qtclustering-cuda,24,15,0.039235,unmerge,1,1,1
train,pool-cuda,0,17,0.220229,unmerge,1,2,1
train,pool-cuda,2,12,0.15,unroll_only,0,2,1
train,nlll-cuda,0,19,0.027298,unmerge,1,1,1
train,coordinates-cuda,1,16,0.15,unroll_only,0,9,1
train,merge-cuda,1,15,0.020842,unroll_only,0,10,1
train,merge-cuda,4,11,0.0,noop,0,1,0
train,rainflow-cuda,0,17,0.221605,unmerge,1,3,1
train,rainflow-cuda,1,19,0.292315,unmerge,1,2,1
train,tsa-cuda,0,19,0.15,unroll_only,0,4,1
train,tsa-cuda,12,14,0.104673,unmerge,1,7,1
train,moe-align-cuda,1,0,0.0,noop,0,1,0
train,moe-align-cuda,6,0,0.0,noop,0,1,0
train,moe-align-cuda,8,0,0.0,noop,0,1,0
train,moe-align-cuda,9,0,0.0,noop,0,1,0
train,moe-align-cuda,15,0,0.0,noop,0,1,0
train,complex-cuda,0,11,0.260864,unroll_only,0,4,1
train,lzss-cuda,1,0,0.0,noop,0,1,0
train,lzss-cuda,2,0,0.0,noop,0,1,0
train,lzss-cuda,3,0,0.0,noop,0,1,0
train,lzss-cuda,9,0,0.0,noop,0,1,0
train,lzss-cuda,24,0,0.0,noop,0,1,0
train,lzss-cuda,25,0,0.0,noop,0,1,0
train,lzss-cuda,30,0,0.0,noop,0,1,0
train,lzss-cuda,31,0,0.0,noop,0,1,0
train,ga-cuda,0,14,0.0,noop,0,1,0
train,ga-cuda,1,17,0.031994,unroll_only,0,2,1
train,mcmd-cuda,25,0,0.0,noop,0,1,0
train,mcmd-cuda,26,0,0.0,noop,0,1,0
train,mcmd-cuda,27,0,0.0,noop,0,1,0
train,mcpr-cuda,2,0,0.0,noop,0,1,0
train,mcpr-cuda,12,0,0.0,noop,0,1,0
train,particlefilter-cuda,1,19,0.15,unmerge,1,8,1
train,dslash-cuda,3,19,0.160444,unmerge,1,4,1
train,dslash-cuda,4,19,0.15,unroll_only,0,6,1
train,winograd-cuda,0,14,0.15,unmerge,1,10,1
train,winograd-cuda,8,13,0.0,noop,0,1,0
train,bezier-surface-cuda,3,14,0.448781,unmerge,1,5,1
val,geodesic-cuda,0,0,0.0,noop,0,1,0
val,bn-cuda,0,16,0.304528,unmerge,1,7,1
val,bn-cuda,1,12,0.232903,unroll_only,0,6,1
val,bn-cuda,5,14,0.23365,unroll_only,0,10,1
val,bn-cuda,15,13,0.021984,unroll_only,0,6,1
val,bn-cuda,16,11,0.015296,unroll_only,0,5,1
val,bn-cuda,19,14,0.157832,unmerge,1,1,1
val,bn-cuda,21,16,0.15,unroll_only,0,7,1
val,libor-cuda,9,13,0.208124,unmerge,1,7,1
val,libor-cuda,10,17,0.206978,unmerge,1,1,1
val,libor-cuda,15,17,0.174552,unroll_only,0,2,1
val,jaccard-cuda,5,11,0.27138,unroll_only,0,8,1
val,jaccard-cuda,6,18,0.15,unmerge,1,9,1
val,jaccard-cuda,10,12,0.249754,unroll_only,0,10,1
val,jaccard-cuda,11,16,0.15,unroll_only,0,6,1
val,mrc-cuda,0,17,0.237561,unmerge,1,2,1
val,aop-cuda,3,17,0.15,unmerge,1,6,1
val,aop-cuda,4,18,0.15,unroll_only,0,9,1
val,aop-cuda,5,17,0.15,unmerge,1,10,1
val,p4-cuda,0,19,0.15,unroll_only,0,7,1
val,depixel-cuda,0,13,0.283781,unmerge,1,2,1
val,match-cuda,1,11,0.201811,unmerge,1,5,1
val,match-cuda,6,11,0.318669,unroll_only,0,2,1
val,match-cuda,35,10,0.327794,unroll_only,0,7,1
val,match-cuda,37,11,0.332353,unroll_only,0,7,1
val,match-cuda,59,11,0.262602,unroll_only,0,4,1
val,fma-cuda,1,11,0.0,noop,0,1,0
val,fma-cuda,6,12,0.144738,unroll_only,0,10,1
val,fma-cuda,21,12,0.0,noop,0,1,0
val,segsort-cuda,1,11,0.076623,unmerge,1,2,1
val,fsm-cuda,3,18,0.304378,unmerge,1,5,1
val,fsm-cuda,4,19,0.260342,unmerge,1,8,1
val,bitpermute-cuda,0,13,0.209803,unroll_only,0,10,1
val,nbnxm-cuda,1,10,0.281254,unmerge,1,2,1
val,streamPriority-cuda,1,13,0.18438,unroll_only,0,7,1
val,unfold-cuda,0,19,0.280955,unmerge,1,7,1
val,michalewicz-cuda,0,19,0.175134,unmerge,1,1,1
val,stddev-cuda,0,14,0.284945,unmerge,1,5,1
val,ecdh-cuda,3,19,0.261109,unmerge,1,4,1
val,softmax-online-cuda,5,19,0.15,unroll_only,0,4,1
val,minibude-cuda,3,0,0.0,noop,0,1,0
val,topk-cuda,2,12,0.143696,unmerge,1,5,1
val,topk-cuda,4,17,0.15,unroll_only,0,4,1
val,topk-cuda,5,19,0.990706,unmerge,1,4,1
val,topk-cuda,6,18,0.989943,unmerge,1,4,1
val,topk-cuda,7,15,0.15,unroll_only,0,10,1
val,topk-cuda,8,13,0.15,unroll_only,0,6,1
val,topk-cuda,9,15,0.15,unroll_only,0,2,1
val,topk-cuda,24,12,0.141447,unroll_only,0,5,1
val,topk-cuda,27,18,0.15,unroll_only,0,4,1
val,topk-cuda,28,16,0.15,unroll_only,0,9,1
val,topk-cuda,29,15,0.15,unroll_only,0,10,1
val,topk-cuda,30,18,0.15,unroll_only,0,6,1
val,entropy-cuda,1,14,0.329976,unmerge,1,5,1
val,entropy-cuda,5,12,0.228123,unroll_only,0,3,1
val,adamw-cuda,0,9,0.267592,unmerge,1,6,1
val,logic-rewrite-cuda,0,0,0.0,noop,0,1,0
test,quantAQLM-cuda,1,14,0.15,unroll_only,0,2,1
test,inversek2j-cuda,2,13,0.15,unmerge,1,4,1
test,particles-cuda,0,12,0.153396,unmerge,1,7,1
test,particles-cuda,1,15,0.175228,unmerge,1,1,1
